,0
0,541.1198454296659
1,36978.01052160777
2,22611.795114930832
3,41571.68294472408
4,33115.628227330875
5,134637.19725270194
6,197266.91377307798
7,118966.04749089775
8,156430.2416272096
9,181414.180215627
10,223599.56173542014
11,219730.27024679168
12,269623.2763899533
13,233633.18618000115
14,255595.6275424701
15,222149.70370237576
16,277196.08358633
17,406311.8879675968
18,553980.7807641355
19,356614.2207309575
20,398941.9532408042
21,407126.6107516868
22,523989.96362456586
23,387359.8743174217
24,629809.7418548883
25,625676.6651137357
26,680921.7113567061
27,654675.576814443
28,714021.7132312242
29,696563.2445680569
30,675146.9199443909
31,595138.6928177816
32,838662.3552818756
33,729116.3330359145
34,917784.2086156735
35,964581.9556138456
36,863321.9645949608
37,998135.5083290398
38,1053849.8760991564
39,996998.5396721782
40,1034456.3012061901
41,872330.5081606847
42,946689.64039963
43,890260.0462585823
44,719450.4175560698
45,674734.6935866363
46,760264.4805221413
47,817946.7152908157
48,705604.3061465903
49,796237.4375409761
50,846743.9782839975
51,714409.5497327783
52,789285.1692730413
53,1024538.0708558747
54,740929.2208160117
55,689609.8212127815
56,807450.7461332126
57,946838.6031692867
58,633938.1744573616
59,691405.38705014
60,917676.7193989039
61,967186.0149191773
62,724333.1160504103
63,864481.9534354972
64,722814.2166053468
65,882498.205426408
66,1423319.1339459892
67,881813.0064569992
68,744156.6896327019
69,760173.9691186672
70,894442.5983298658
71,877240.8109396147
72,853805.9164233606
73,820235.7675348474
74,1075336.9495394863
75,969707.4013844314
76,801746.2580967844
77,709723.7940453385
78,1049652.3981912457
79,885771.0178662987
80,730635.0303787037
81,922001.4197530639
82,778256.0579103399
83,880827.5672822498
84,1034180.6544896278
85,1230406.1963382242
86,1302550.31794086
87,1071474.8860307834
88,736723.1496723271
89,873922.7312895231
90,1004244.0165319524
91,1037982.7306548174
92,1193050.8629325991
93,1217548.9689775158
94,1163725.3846778376
95,1189246.6782093162
96,1106724.6392507432
97,597076.0636919781
98,1089770.3084717547
99,1236958.4883723643
100,1120958.0165576027
101,1090176.7288918204
102,1082853.4939920353
103,1058810.0797877433
104,1049619.915664265
105,1002314.4575586675
106,1035519.7708985781
107,1063056.3655254769
108,1072350.7474505655
109,1217929.5238876394
110,1150442.5059239136
111,1073672.1265669358
112,609238.2450547251
113,1016284.6439924187
114,573061.8342397029
115,1016637.3255681919
116,1019552.202632919
117,521573.43609159824
118,976392.5693880992
119,1083351.8208517705
120,620643.2010054368
121,955447.003098584
122,1058093.12955473
123,716143.5515960719
124,553145.8020888175
125,547455.4360423998
126,564790.9389075149
127,816283.8323488896
128,1301544.859025895
129,609441.4144809822
130,646232.3621435816
131,1076612.6365131252
132,603911.5415669604
133,635271.2077657633
134,673471.9828751858
135,1057231.6849645285
136,422627.71841004206
137,1113906.3119011046
138,1044135.3969294243
139,1021980.8444692616
140,1079135.198712131
141,1118081.7580505656
142,982398.6566788078
143,844163.2916822975
144,777888.0225368141
145,817714.6474209079
146,760498.4587123301
147,1118134.126151471
148,588820.2849759923
149,993179.3933175297
150,614712.4043961607
151,577306.3049898383
152,916809.8968306427
153,458161.0210914294
154,968852.9758641392
155,694343.8094410143
156,1015587.4585159979
157,965670.1100233627
158,551595.7900738514
159,514304.9856468971
160,1038458.9193294514
161,1024997.1158358076
162,928302.3364539419
163,960649.5582797676
164,542866.1135224181
165,541505.6574963775
166,541311.3607434701
167,556255.3727830631
168,546339.8054237213
169,516689.14943326433
170,542858.8777712429
171,516503.76358317025
172,553240.804674299
173,665367.5823911547
174,660072.6886016899
175,504177.4785841609
176,556684.501606854
177,587124.5028398901
178,547639.3030987692
179,507099.9836179117
180,543278.6450770643
181,613873.546316258
182,719764.506606318
183,527855.5816920201
184,591892.6469337062
185,679281.5988810883
186,542652.7777258689
187,540303.0664727954
188,1093867.4142313036
189,634894.1815083654
190,591351.09306155
191,708552.9190354315
192,962981.341140568
193,960264.7883712647
194,1125934.7472286476
195,766431.7741771903
196,772287.4383728981
197,669333.9519692687
198,624971.7543139559
199,521836.09604390315
200,522289.9263301198
201,593283.3934991289
202,678430.2710140785
203,750341.1549119921
204,477240.58596842765
205,963912.6360486444
206,834878.016860812
207,826196.2224890873
208,624082.0338543035
209,721936.8568060413
210,480058.7828684476
211,480932.62764073926
212,709184.3333188435
213,574847.7517332137
214,672954.8772933547
215,665443.9131583059
216,933056.6279853418
217,798354.8071470653
218,640897.5078903498
219,1017815.4029429263
220,789935.7220236103
221,1000818.6583906948
222,1031829.7824772209
223,970110.2297863216
224,958264.5474169054
225,1027324.3752716251
226,997835.0534320854
227,1089267.693650378
228,1001492.0967678673
229,1051445.6516906193
230,512743.7549586166
231,556197.4281840413
232,410609.71184758004
233,425238.90935384104
234,404849.81900469377
235,447613.0877600835
236,364712.5904662143
237,518160.9277566685
238,559566.2507594947
239,449909.89091450465
240,736795.8680830973
241,784604.2469124305
242,807339.9356179344
243,987078.9788658072
244,1259849.59995634
245,795761.9577455722
246,1031364.4006604754
247,1027207.7879332827
248,808815.2339190094
249,622103.581152348
250,1065085.7178729742
251,630295.452859691
252,555515.5187605164
253,558582.6173803478
254,564416.9188843386
255,560515.8748542026
256,582188.010116407
257,629872.3802377963
258,593796.8334510128
259,628454.6858368242
260,559021.3700252621
261,623532.5824970761
262,607863.6370557317
263,609318.406606925
264,598636.1653247832
265,565043.4309924481
266,533511.0275532437
267,554151.2289850548
268,508781.4573170496
269,607498.9986037861
270,532258.4120879241
