,0
0,2608862.0474214265
1,2591395.0879278686
2,3259190.198826717
3,4649147.389458464
4,6696193.91839749
5,5524774.332494864
6,7962609.710767378
7,6628824.607372232
8,5074757.728907553
9,7639920.479596456
10,6634984.365199838
11,4298244.958541911
12,5546234.030938709
13,5398956.539567932
14,4808705.850422133
15,5876997.521508979
16,5892168.330260644
17,8275224.665466359
18,6407532.031990575
19,5950872.8065861575
20,7643897.684462359
21,7168043.302932759
22,7489815.034856588
23,6752130.4580264045
24,7256047.641886418
25,7844596.8608248355
26,7930071.845438011
27,8848474.836857466
28,7780902.776986167
29,7254508.345488202
30,7967998.849182093
31,7859930.073933582
32,8207197.748491397
33,7762446.440940283
34,8377628.673569435
35,8300557.213970659
36,8316497.894597474
37,10080861.402408598
38,8749918.160918802
39,8659218.921400297
40,8677120.478895666
41,8483710.614384232
42,10500471.31082931
43,8787346.743028563
44,9357709.548913773
45,9211690.5119737
46,9134727.822834652
47,13309516.422212351
48,13445938.113226688
49,10235181.148245856
50,12398651.033595476
51,8602693.6585436
52,8673831.281645171
53,11409553.07532882
54,8598838.946166582
55,13312954.891285732
56,9557845.974508615
57,9636622.428794347
58,9804291.498133102
59,9066637.685237879
60,8987372.973503862
61,8991997.251780324
62,8793398.047068002
63,9668493.302261483
64,10051587.37964466
65,8387410.340009085
66,10654086.628956473
67,10274615.621405508
68,8202970.989773967
69,8089873.17695806
70,9027176.568642545
71,8309360.509231607
72,8298759.976095372
73,9105361.904087652
74,10184553.518201264
75,9793353.593969287
76,8757258.890422354
77,11214941.776936492
78,8392285.08666434
79,9269389.80072639
80,9670527.032719558
81,8796495.986034026
82,9299739.022336181
83,8546532.955079652
84,8795791.812376732
85,11250334.03900844
86,6575513.657304892
87,8819937.928622575
88,6760700.763908498
89,8734620.013347432
90,7464939.175431498
91,8770601.294838741
92,6519336.362992575
93,6482770.38355557
94,8327214.911709532
95,8353925.635454651
96,6060617.986641617
97,8486653.895135129
98,9313886.602090657
99,7993543.381410052
100,8400393.639356494
101,7764663.13905932
102,8504805.864740524
103,9253724.600864891
104,5737397.620438856
105,9024047.042465556
106,5919131.242088289
107,7680955.690220921
108,5144715.3110679
109,7161001.776973447
110,6144065.046931053
111,5853309.463786318
112,6939688.418073871
113,5089037.429365056
114,5299151.154246158
115,6776326.784632188
116,7871434.854217038
117,5837100.755599976
118,5615511.345250372
119,5314217.870139528
120,6535041.199103446
121,5338178.739074958
122,5354275.646228429
123,4787090.823097281
124,5808146.087221145
125,6947589.157498761
126,4940378.316436571
127,4719573.437170547
128,5084011.6795951035
129,7168552.945383038
130,7151283.571334411
131,6673282.729483805
132,5850424.5110876635
133,7295106.999691413
134,7439449.6454787385
135,6909325.667234798
136,6171622.162500991
137,7849938.386541745
138,7494591.836597748
139,7504627.655332149
140,5962453.277862729
141,5052057.992726768
142,6425185.060409281
143,7217925.805200801
144,5842357.770806021
145,6215086.095115723
146,6505959.057937204
147,6294605.662029883
148,6693906.10446203
149,6527596.123095844
150,7254490.285934378
151,5889802.271463588
152,5593061.372833176
153,5415652.679661158
154,5175012.985793013
155,6226544.251093873
156,5709972.111737473
157,5241652.800636036
158,5487990.554013661
159,4670425.536612589
160,5313412.7396353865
161,5833609.208781385
162,5388074.050053841
163,5187096.890797562
164,5295163.258328733
165,5050013.849736343
166,4937062.354194496
167,5176281.4803406065
168,5493096.443356426
169,4184084.649021046
170,4807545.406929005
171,4824124.377270055
172,6600607.543726235
173,6502527.876674865
174,8796394.57484787
175,8149478.943969217
176,6908135.643654025
177,8061509.681086525
178,7594246.3567114305
179,5488595.538779042
180,7884171.742227658
181,6069579.908246212
182,7865870.237494775
183,6066907.114531252
184,6780821.629601894
185,6289284.929038535
186,5129164.454827239
187,6417116.749757307
188,6256812.129838102
189,5231174.865651436
190,5905795.0258284295
191,5291180.8229959095
192,5788449.89629144
193,5661104.476600952
194,5473012.837506081
195,5572337.512945888
196,5559448.708267972
197,5578453.997912175
198,5665692.881293587
199,5290315.449370029
200,5523814.011420555
201,5551560.429048087
202,5551669.430108746
203,5536809.282598837
204,5892929.067105515
205,6093202.733217472
206,5855824.987843687
207,5292381.963938356
208,5635811.668307053
209,5828943.516418077
210,5895163.474108993
211,5790631.398149138
212,6106209.057002888
213,5918174.759549615
214,5804987.390558931
215,5168293.923070163
216,5447991.863549011
217,5297984.872082828
218,5871780.037448465
219,5798983.477051372
220,4787406.205660986
221,5600558.249080833
222,5907011.2837743815
223,5242598.667382545
224,5939573.884410428
225,5216130.909681117
226,5574332.609770371
227,5586427.4896444315
228,5993050.834412261
229,5529291.108531887
230,5533028.547699205
231,5779790.588849123
232,5156252.9739271635
233,5696745.342597821
234,5592633.009686193
235,5759219.63706913
236,6061781.133136417
237,5621942.315690454
238,6140113.438625183
239,5844202.971899043
240,6319053.095390773
241,6576276.590121113
242,6044732.576124048
243,5839318.571777379
244,6229102.314736818
245,5855630.311021439
246,6233338.261652101
247,6404560.160241787
248,6065393.631410867
249,5789362.089070028
250,6112657.621025833
251,6006982.805521577
252,5849449.1682393085
253,6413273.9420507355
254,6111288.50910833
255,6223730.289559047
256,6223806.44286089
257,6223487.619836442
258,6224028.388136613
259,5841313.678041949
260,6224038.591360642
261,6223993.470768876
262,6224368.959239921
263,6224001.726615465
264,5577416.919101392
265,5218622.140288832
266,5260148.32718712
267,5379171.629003062
268,5503783.697617314
269,5050189.20569212
270,5139829.404299719
