,0
0,541.1198454296659
1,6656.663477993138
2,17892.554752719218
3,23875.824950963943
4,24424.941724668966
5,22138.585399215932
6,16309.192822084988
7,53793.143720918015
8,45447.18775035756
9,106214.59978020315
10,76740.42307641076
11,50056.84170076617
12,74934.82319374947
13,84745.21227798608
14,40624.85835874541
15,60183.8051453269
16,88094.72934836437
17,72126.47139671908
18,175298.5324660548
19,205406.84978489572
20,464430.40705368726
21,279098.32739075954
22,203532.920192983
23,114964.26951848116
24,108670.59931329002
25,60220.35189157599
26,189071.05215942906
27,77488.5909837149
28,174762.83514069204
29,107866.76888537197
30,117575.22859452548
31,102164.40908234575
32,82599.5710371695
33,113358.58171630044
34,174113.04047398025
35,241125.6491804174
36,550937.1485229059
37,384763.91060461075
38,230127.59616669727
39,137630.7720914283
40,205680.30638455047
41,59460.04090196417
42,87338.80366490778
43,86454.94664918457
44,64264.003234602926
45,268556.6775785174
46,460969.1221045193
47,833216.2336731259
48,287143.1337215509
49,942084.2899067088
50,454968.1081842797
51,813003.0769622498
52,170979.87638680363
53,592800.1609618979
54,162309.95198849763
55,146614.55922622193
56,251323.1612974887
57,98293.59839202573
58,88462.32197159383
59,179304.15552287584
60,205240.07894761008
61,208441.17390928217
62,237732.29115779352
63,210125.4557182181
64,196039.1485890785
65,122396.68859315422
66,141084.51270558513
67,186135.53739400083
68,156061.90177911596
69,239500.19363279556
70,249640.15284181322
71,521568.8066193016
72,282166.0224875439
73,298268.00187169435
74,354163.11810645147
75,171472.69539106873
76,258069.5614306224
77,261234.6345415349
78,221291.7877747353
79,272705.5907696128
80,468538.18434990844
81,267216.20021579723
82,343514.67674722377
83,662423.1613476954
84,456036.5731755688
85,630667.653255327
86,360965.1157199621
87,340776.8933522122
88,331324.6997396198
89,411220.94260500907
90,436894.4499797369
91,428278.3285687575
92,401840.1240049217
93,380021.5907226636
94,368641.22121289937
95,639432.3763350765
96,322114.40810289996
97,346636.1919114285
98,420976.1244774238
99,446164.5805370527
100,333785.7151197902
101,297310.64813211
102,312154.4431431056
103,305145.2448333377
104,542384.1484945369
105,290632.52446432726
106,443528.63615965185
107,430686.23643212765
108,325759.8861077466
109,309929.63137650443
110,469746.29537126387
111,252555.61749659484
112,324580.09021311183
113,154965.8946904912
114,463541.82005747926
115,461508.41831261216
116,157217.93778151172
117,452064.549578791
118,311719.28975138697
119,334404.9094977562
120,359668.55582862446
121,346224.3049928024
122,351867.68780328863
123,451147.81279668014
124,534163.6602947883
125,348860.29805752006
126,562918.008926327
127,259082.33941813745
128,487555.30394378555
129,848486.9003636338
130,446234.87865047157
131,421268.97372611053
132,509963.18275542243
133,356032.09875472786
134,306036.11603106884
135,265508.91724719235
136,307353.7889647688
137,273397.47535949404
138,378100.3657684608
139,406145.08652677905
140,343617.5776449429
141,265382.9404355457
142,342382.2409118493
143,290920.79059265694
144,385047.5647627531
145,353695.5223297104
146,501671.3063269102
147,362113.34026902687
148,414719.29644226533
149,255449.5024085537
150,359770.96903734666
151,359877.8287198109
152,314823.9132617411
153,392409.083491953
154,390524.34022779105
155,429531.8864720071
156,253772.43614126305
157,382767.68452381366
158,297116.1616780282
159,515349.5378108155
160,407992.9427123737
161,279869.4013443245
162,304096.98506746214
163,414843.61435491865
164,376070.99252598465
165,486118.7775178957
166,341369.2459225362
167,315498.2427878083
168,419813.14666599897
169,313464.9452677539
170,310540.8443709347
171,386430.9886028862
172,476942.7579143708
173,479616.4791405392
174,347541.9490452803
175,312182.20653628476
176,423937.56409818685
177,412813.46703105676
178,320753.2931988781
179,432269.9040700526
180,390503.49118960765
181,403825.06466807326
182,413283.2711593291
183,409599.563930646
184,476546.0779253536
185,335375.467308816
186,332288.9227263211
187,414312.2583531989
188,402904.02338400815
189,444678.0141998352
190,462124.1628366211
191,420043.40586356504
192,418291.75657074177
193,419853.40661003353
194,439366.6415936457
195,429109.78180495946
196,323347.2229400442
197,429900.60484654026
198,483494.83894453384
199,453848.79834663554
200,453670.1060360991
201,459937.1823322093
202,426083.355571498
203,346283.3053982415
204,414890.0546612501
205,417843.2354018252
206,430228.6787440907
207,416289.5653759434
208,408430.1538210047
209,432282.7960048418
210,407617.8278484588
211,428082.0179487623
212,445351.8064662127
213,445544.3312715824
214,418771.43223808
215,434757.3466253828
216,429376.687438208
217,355209.2772539776
218,344824.31223704695
219,331327.31020004465
220,414819.9331602023
221,409946.0894107983
222,413078.54291507805
223,415009.5171617735
224,414311.596265698
225,449593.8676922792
226,460919.2954361942
227,412697.60881349095
228,428339.7797973283
229,454028.88409755315
230,411526.8689746689
231,418700.20789203094
232,415038.84213752305
233,478449.32643406896
234,453201.38441450405
235,460762.41655715485
236,478428.93832487165
237,424558.02038832573
238,423792.67989210226
239,464648.1106482169
240,458051.9239285164
241,459041.6550895507
242,451577.67020250054
243,460298.6188266991
244,460011.5208726987
245,469221.7196878734
246,466201.8108710762
247,552662.7776028027
248,460150.2840071497
249,460182.8842862831
250,366331.5430535397
251,420381.623909811
252,460048.6769460578
253,446980.4161220542
254,457512.32306930906
255,458204.30743805954
256,373451.1538364651
257,360539.8275461296
258,456538.47335393773
259,461362.0474021874
260,406172.5189587541
261,464007.2874716986
262,360157.3595313766
263,464033.64107592485
264,451558.8143940489
265,444096.92641936895
266,387581.6595542194
267,460413.99952008773
268,459319.21620864276
269,457051.940644433
270,454530.1682414009
