,0
0,2608862.0474214265
1,2598228.3895883067
2,1968569.3650007648
3,1425971.1030261663
4,1524314.1891614022
5,1465066.3474884934
6,1583855.8126159448
7,1246193.9654764228
8,1965491.4322303105
9,990612.5125380703
10,598351.8307515313
11,682560.8064853845
12,414603.38876766694
13,247596.4225746808
14,294563.62982319755
15,284995.4256451989
16,372484.0774667166
17,584280.8550222385
18,524106.7267963127
19,609541.2640171825
20,741614.2476712976
21,1109526.129348955
22,1274683.169621117
23,1105770.2185566768
24,982157.5738602241
25,1333104.4393490436
26,1309833.1662761008
27,959613.232684161
28,986179.1025937332
29,1081958.2564574208
30,1152456.210742972
31,1248643.999929628
32,1561141.37978112
33,1602465.1246624116
34,1107873.7740047234
35,892044.496391197
36,711393.5061303742
37,693325.8923861693
38,752431.1963955305
39,765498.9874897097
40,623883.2662661643
41,642171.3147315742
42,682862.6363353295
43,606229.954762112
44,504166.9294046452
45,626766.2901986688
46,544539.2201237533
47,606473.4788689058
48,419217.0571076313
49,310405.1893080717
50,492717.66984677676
51,420341.01989285584
52,411931.7846659538
53,682448.343908605
54,530255.20654083
55,430077.1311954521
56,727955.7002030696
57,813827.9185209181
58,695115.1559189002
59,694430.2179251245
60,874047.1116603652
61,928867.861825111
62,1209202.1408922656
63,859505.630531727
64,898423.4372733635
65,793253.4056229714
66,862428.6049619089
67,600372.1642827846
68,831213.2913668643
69,738113.7516906322
70,614748.0273531912
71,907271.3774859018
72,813714.2796496097
73,741847.7569693235
74,756779.3698759184
75,753899.9595437405
76,5117501.096086592
77,1138709.3015530151
78,2168120.045711188
79,5231247.070071377
80,1027151.9213150548
81,1648901.6743052357
82,2991127.259365378
83,1043901.3744828572
84,4513943.668265214
85,5179592.225682846
86,5527578.669840359
87,5950366.442985145
88,1859913.2591816613
89,2290449.048348075
90,2115690.6116724266
91,1873567.2680171207
92,2352226.8463386693
93,4925665.310612907
94,5930285.606033288
95,3493354.313816637
96,5922557.761956982
97,4294276.576605132
98,5084131.312580669
99,5091646.642973001
100,5181206.310348262
101,5302324.0165057825
102,2256170.858265253
103,5517288.30344687
104,5857517.464834838
105,5989012.472241166
106,5280231.52033628
107,2705907.9577221503
108,5341523.328684587
109,5415471.665668954
110,4905774.323862657
111,2517568.561738272
112,6080772.593713951
113,5612218.246594298
114,6018830.183544539
115,5476664.480048793
116,5264381.90536952
117,5238582.955820371
118,5515895.7140054535
119,5608859.830438033
120,5209839.223687829
121,5497596.611323911
122,5458586.993872252
123,2209444.2912684684
124,5314287.5376714645
125,1907560.8428914596
126,5472661.386151467
127,1895547.1661868023
128,2347686.737225825
129,5266890.070722255
130,5301509.148607034
131,5106631.622827794
132,6188781.987356116
133,6231288.614015153
134,6127000.067563258
135,5629846.392168955
136,4988906.737967616
137,5951201.51512962
138,5370947.084540732
139,5060384.005825468
140,5284502.484151553
141,6185887.956806201
142,4625808.60069488
143,6152659.180656937
144,5997804.116506511
145,6186445.338690205
146,6134873.054754314
147,6165557.48367219
148,6130790.140341967
149,6203217.320160471
150,5758504.508435132
151,6193139.551141588
152,5997841.301810849
153,5169826.842546562
154,5988512.998381296
155,6368958.791940734
156,5931063.003367072
157,5996778.5498348605
158,6032652.264902645
159,5997074.240921386
160,5651165.855891643
161,6150869.762019768
162,6097159.5306925485
163,6093644.918167783
164,5906334.674064297
165,5980887.010270925
166,6017495.280620902
167,5889438.144286934
168,5730882.387086765
169,5735547.538154669
170,5649521.4690684825
171,5983649.989055417
172,5761644.739358734
173,5718750.291736359
174,6084762.7856675545
175,6263577.682874001
176,5405450.545142213
177,5391525.007966673
178,6116693.469240997
179,6124414.772247603
180,5287781.762224463
181,4617749.371952196
182,6120690.876444937
183,6130683.243586492
184,4359425.979884202
185,4461225.261298142
186,6252587.997141788
187,6134247.78417704
188,6248286.671767007
189,5146810.79241065
190,6128692.777650341
191,5251054.797046977
192,5351880.648288144
193,6269377.428697037
194,6225941.417900392
195,6225832.196490657
196,6225552.9880295005
197,6238196.499134395
198,5631570.265583302
199,6223430.079309737
200,5592793.240679662
201,5588508.618313643
202,5589124.624782358
203,6238215.73588447
204,6257799.640969597
205,6249590.782873899
206,5573469.987185263
207,6208138.0416180575
208,6037416.399816859
209,6012271.869943384
210,6258506.340343372
211,6264321.854451861
212,6046015.4652168285
213,6252389.573499039
214,5456457.000886433
215,6258550.636274987
216,6249285.709399119
217,6266142.319051951
218,6255218.241330627
219,6252062.897145679
220,6143776.299360785
221,6258699.351227277
222,6135777.582234043
223,6253127.910449551
224,6268891.6840325
225,4354740.350774954
226,4743057.982855825
227,6259039.066613868
228,6271870.614935263
229,6223216.034889702
230,6139442.779326571
231,6223616.205155005
232,6240123.341061017
233,6206762.936392729
234,6206125.680266939
235,6241702.429237079
236,6097418.023438992
237,6123543.033892752
238,6165571.430123742
239,6221937.963165942
240,6191055.762710916
241,6207719.715235434
242,6120000.318736934
243,6079280.654336131
244,6195161.498328721
245,6202887.4812573595
246,6125731.915578207
247,6239844.478645441
248,6126774.62132579
249,6131673.201559433
250,6124319.365305069
251,6122434.144610026
252,6204283.444779759
253,6239844.872655035
254,6115587.891541214
255,6122229.309689193
256,6120489.670603228
257,6102491.777327232
258,6102194.33383013
259,6198193.824095726
260,6105057.796845962
261,6101659.663518132
262,6107454.911300447
263,6198874.019192256
264,6200915.255861376
265,6196100.961640976
266,6231861.960248031
267,6236196.947247505
268,6232603.9576178
269,6223754.5733750705
270,6238713.415101738
