,0
0,2608862.0474214265
1,1496210.9215269908
2,994188.2007344436
3,966115.9368089949
4,1097322.1542051071
5,653925.1675755506
6,659185.977399014
7,637462.6289364969
8,778378.1671094903
9,1464255.0529817368
10,1402221.0607051766
11,1087964.425181151
12,904537.1807099102
13,1189487.5895425586
14,1249148.9864870987
15,977370.4893300683
16,557197.7129418717
17,593247.5919473463
18,610943.0692167864
19,552786.7144964356
20,488190.73427740566
21,379472.6767473689
22,274037.4743844107
23,670420.747446945
24,858854.5144595578
25,683425.7470036352
26,440854.12611687183
27,544393.6678536851
28,500701.54339179344
29,513223.96442565613
30,310252.9338259944
31,337107.8545728565
32,249295.95504927463
33,227344.7490752617
34,398686.7105550543
35,375537.92304818303
36,375513.0552717289
37,267595.2321003965
38,317819.6937979482
39,363676.8949483413
40,417606.8522724629
41,399256.66645524604
42,348245.09282926505
43,341781.4625933815
44,381624.84489502094
45,330604.8375240895
46,401746.5785297833
47,306593.9624310567
48,363297.72223700053
49,324868.13288931886
50,341761.03273710754
51,305271.23568666255
52,245400.13340883178
53,241900.75977949385
54,288632.0131271822
55,320702.8589201399
56,312083.1385133146
57,321630.5180705954
58,313582.5896113796
59,313990.0515732102
60,296960.99445206363
61,269275.61869362317
62,248972.87044859515
63,270665.18995388754
64,241872.62074245466
65,230225.186165137
66,212327.1354299759
67,207897.5278253125
68,159115.41566394182
69,223668.68318593697
70,200601.35102026525
71,212690.5190078175
72,192713.0596108905
73,202182.0506759349
74,203939.54026270204
75,228037.5002215951
76,221896.27458721685
77,186683.89620871196
78,184888.29867449534
79,177913.92370748098
80,193338.45254586395
81,156017.54937756833
82,216284.73886696168
83,151535.95270368436
84,163259.80497619425
85,153249.39856448976
86,132100.3692784065
87,164395.8742472323
88,145740.29708034734
89,159608.50098208862
90,173503.85977281292
91,216220.5077940054
92,222452.30502694417
93,196746.26008596193
94,280566.64245540765
95,242480.81833378132
96,388397.2573077461
97,384813.8793023109
98,468886.3307028263
99,157635.60611579535
100,178957.12734586178
101,238964.44463556385
102,221932.97438885755
103,414688.3527760902
104,424508.026380726
105,425440.29679667484
106,362998.59221892216
107,188390.49762937526
108,563105.907208454
109,549212.2487285391
110,250968.02624015792
111,263456.17446846067
112,466944.82559148903
113,5952879.12067472
114,616886.624825407
115,245814.95222369352
116,4157666.497217482
117,465984.6449440423
118,5961641.502262742
119,476312.2869115407
120,491381.04550029966
121,578317.1628734419
122,3848653.6085843905
123,398447.8183804781
124,4897754.286057325
125,395785.5450408147
126,3852870.2418447607
127,385287.3173877798
128,5711340.346540546
129,5797621.788973661
130,5841398.628781814
131,438106.0373450287
132,5863093.470365268
133,5646879.333617714
134,350496.5533643545
135,452443.82615021965
136,441105.77988834283
137,5955547.297132562
138,5956954.100522613
139,5915105.5917490255
140,5917430.733237735
141,5894319.688587224
142,5848950.941631085
143,6094246.38429739
144,438684.9055443286
145,5860901.860438037
146,5460230.610036302
147,5858987.259256066
148,1076198.9027797906
149,5701126.075338649
150,4203939.499324156
151,5901467.114682043
152,6017110.999205684
153,5878766.090048627
154,6094249.411818823
155,5326230.229503493
156,5834703.978625668
157,5259407.445221204
158,5650317.98678024
159,5751617.756001749
160,5545016.767777512
161,5944977.015181396
162,5948432.908882749
163,5846079.534004854
164,5896495.202338115
165,5927507.817741134
166,3729137.0285854964
167,1457976.9063046346
168,1146681.543873601
169,1407839.9439416209
170,5905001.668913248
171,5989239.980642953
172,5874913.850751968
173,5839313.079948947
174,6040381.593982298
175,5976785.45154098
176,5959034.005277641
177,6100761.477078312
178,5865718.678749875
179,6095080.367807356
180,6060643.216858693
181,5957304.392863539
182,5851908.396464802
183,5943271.452619476
184,5812226.612537019
185,5939883.539293984
186,5905048.874743756
187,5962937.255714595
188,321314.17256921844
189,327149.17614219955
190,320779.04271310096
191,330185.0545647911
192,340449.9667931156
193,331770.5505861422
194,329107.2351817436
195,336367.4947847223
196,336861.87289884116
197,342027.5052973577
198,353322.198098988
199,417799.33924965304
200,5998890.878514248
201,6020447.365176198
202,6001086.819049072
203,6016547.269412055
204,6009910.901073834
205,5996265.0980715435
206,6012969.069350922
207,6091443.351090082
208,5916099.902202515
209,6049744.892081934
210,6095795.808918003
211,6122072.827916203
212,6129012.034232929
213,6103366.901043344
214,6126614.00563515
215,6117100.788628728
216,6083335.531680797
217,6048603.7834317135
218,5798065.491010806
219,6123304.856379117
220,5985238.523072623
221,6024063.988130047
222,6022640.7555332845
223,6021643.742222879
224,6046418.396156163
225,6019298.810450372
226,6078551.594063771
227,6021945.83869949
228,4266695.252659171
229,6075182.742879219
230,6130736.359825541
231,6036466.373324024
232,6046705.34985337
233,6126448.818393927
234,6134455.771362412
235,6025271.134629236
236,6082022.427910148
237,6071024.315567762
238,6055789.844587376
239,5909559.629298512
240,6016529.875828463
241,6054201.152583348
242,6065656.841798126
243,6016616.077686992
244,6094403.758045239
245,6032546.535537059
246,6084864.677051752
247,6113548.919206551
248,6114072.546717055
249,6124154.197240079
250,6138805.558555168
251,6074657.628404292
252,6149027.44506704
253,6098714.070608965
254,5976723.301480382
255,6104917.270361489
256,6069408.010304303
257,6182658.029986437
258,6060212.249064687
259,5982642.755029862
260,6057941.604749311
261,6052764.661117502
262,6093253.103797175
263,6173061.310497482
264,6052575.501687351
265,6104735.574739084
266,6067101.894961571
267,6100976.119793695
268,6093798.990145723
269,6122717.079946626
270,6065514.540889928
